人,人 person  ジン  ニン  ひと
一,一 one  イチ  イツ  ひと.つ  ひと-
日,日 sun; day  ニチ  ジツ  ひ  -か
大,大 big  ダイ  タイ  おお.きい  おお.いに very much  おお-
年,年 year  ネン  とし
出,"出 go out  シュツ  スイ  だ.す to take out, to put out  で.る to go out, to exit"
本,本 book  ホン  もと origin
中,中 middle  チュウ  ジュウ  なか
子,子 child  シ  ス  こ
見,見 see  ケン  み.る to see  み.える to be seen; to appear  み.せる to show
国,国 country  コク  くに
言,"言 say; word  ゲン  ゴン  こと word, saying  い.う to say"
上,"上 above  ジョウ  ショウ  うえ  うわ-  あ.げる to raise  あ.がる to rise  かみ first half, upper part  のぼ.る to climb  のぼ.せる to bring up, to raise  のぼ.す to bring up"
分,"分 divide  ブン  ブ  フン  わ.ける to divide, to distinguish  わ.かる to understand  わ.かれる to be divided  わ.かつ to share, distribute"
生,"生 life  セイ  ショウ  なま raw  い.かす to enliven  い.きる to live  い.ける to arrange flowers  う.まれる to be born  う.む to give birth to  き pure, undiluted  お.う to grow, to sprout  は.える to grow, to sprout  は.やす to grow, cultivate"
手,手 hand  シュ  て  た-
自,自 self  ジ  シ  みずか.ら
行,行 to go  コウ  ギョウ  アン  ゆ.く  い.く  おこな.う to take place
者,"者 person  シャ  もの person, someone"
二,二 two  ニ  ふた.つ  ふた
間,"間 interval  カン  ケン  あいだ interval, between  ま space, room"
事,事 thing  ジ  ズ  こと thing; matter
思,思 think  シ  おも.う to think
時,"時 time  ジ  とき time, occasion"
気,気 spirit  キ  ケ
会,会 meet  カイ  エ  あ.う to meet
十,十 ten  ジュウ  ジッ  と  とお
家,家 house  カ  ケ  いえ  や
女,女 woman; female  ジョ  ニョ  ニョウ  おんな woman  め woman
三,三 three  サン  み  みっ.つ
前,前 before  ゼン  まえ
的,的 target  テキ  まと
方,"方 way  ホウ  かた way, direction"
入,入 enter  ニュウ  い.る to enter  はい.る to enter  い.れる to put in
小,小 small  ショウ  こ-  お-  ちい.さい
地,地 ground  チ  ジ
合,"合 fit  ゴウ  ガッ  カッ  あ.う to fit, come together  あ.わす to match  あ.わせる to unite, join"
後,後 after  ゴ  コウ  のち  あと afterwards  うし.ろ behind  おく.れる be late
目,目 eye  ボク  モク  ま-  め
長,長 long  チョウ  なが.い
場,場 place  ジョウ  ば
代,"代 replace  タイ  ダイ  か.える to replace, to exchange  か.わる to be exchanged  よ the world  しろ substitute"
私,"私 I  シ  わたくし  わたし I, myself"
下,"下 below  カ  ゲ  した below, under  しも bottom part  もと under (influence)  さ.げる to lower, to reduce  さ.がる to be lowered  くだ.る to descend  くだ.す to judge  くだ.さる to give  お.ろす to drop off (passenger)  お.りる to get off (train)"
